Time,price,volume
2015-07-09 00:00:00 UTC,271.167556785045,22010249.8279822
2015-07-10 00:00:00 UTC,282.219609305638,63400864.9587721
2015-07-11 00:00:00 UTC,291.554423665236,26194077.1054433
2015-07-12 00:00:00 UTC,305.136774527624,39840968.1199198
2015-07-13 00:00:00 UTC,294.197042761608,45954194.9925167
2015-07-14 00:00:00 UTC,290.610640178148,20342307.0117657
2015-07-15 00:00:00 UTC,291.214973082867,20174870.0076441
2015-07-16 00:00:00 UTC,284.418566791516,36922395.0071314
2015-07-17 00:00:00 UTC,279.566304430647,21008722.6932248
2015-07-18 00:00:00 UTC,279.951695538161,17910561.6537123
2015-07-19 00:00:00 UTC,277.596334951961,10084410.8214162
2015-07-20 00:00:00 UTC,277.342909825021,16093809.9240656
